,,,Count,,,,,,,,,,,,,"Rate per 100,000 population",,,,,,,,,,,
Region,Sub-region,Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa,Eastern Africa,Burundi,,,,,,599,700,699,664,,,1265,,,,,,,6.8,7.7,7.4,6.8,,,11.7
,,Kenya,,2880,2590,2965,3051,2719,4068,4817,4703,4806,4779,5184,,,8.4,7.3,8.2,8.2,7.1,10.4,11.9,11.4,11.3,10.9,11.6
,,Mauritius,298,297,314,420,384,413,442,432,466,,,,,24.6,24.4,25.7,34.2,31.1,33.4,35.6,34.6,37.2,,,
,,Mozambique,,834,789,639,629,640,613,,,,,,,,4.1,3.7,2.9,2.8,2.8,2.6,,,,,
,,Rwanda,,,,,,,,,,,1734,,,,,,,,,,,,,15.7,
,,Uganda,,,14101,17046,18844,10365,8646,8645,8633,9009,10974,13676,,,,50.3,58.8,62.8,33.4,27,26.1,25.2,25.4,30,36.2
,Middle Africa,Cameroon,,,,,,,1369,2053,2383,1994,673,703,,,,,,,,6.8,10,11.3,9.2,3,3.1
,,Sao Tome and Principe,,,,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,,,
,Northern Africa,Algeria,,,,3506,3905,3938,4231,3795,3887,,5596,3017,,,,,10.4,11.4,11.3,12,10.5,10.6,,14.7,7.7
,,Egypt,,,,154,169,194,199,171,114,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.1,,,
,,Morocco,827,594,929,2243,2531,2559,3252,,,2933,4327,,,2.8,2,3.1,7.3,8.2,8.2,10.3,,,8.9,12.9,
,Southern Africa,Botswana,,,,,,,,,,,,2750,,,,,,,,,,,,,123.9
,Western Africa,Cabo Verde,,,,,,,,120,110,251,208,,,,,,,,,,24.5,22.2,50.1,41,
,,Cote d'Ivoire,,,,,858,716,,,,,,,,,,,,4.5,3.7,,,,,,
,,Guinea-Bissau,,,,,33,,,,,,,,,,,,,0.3,,,,,,,
,,Nigeria,,,,,1545,1359,1952,1747,,1410,1788,,,,,,,1,0.9,1.3,1.1,,0.8,1,
,,Sierra Leone,,,,,695,623,,,,,,,,,,,,12.9,11.3,,,,,,
Americas,Caribbean,Bahamas,,,439,507,590,557,589,309,238,299,,,,,,133.3,151,172.4,159.8,166,85.6,64.9,80.3,,
,,Barbados,,204,192,200,200,171,174,169,184,165,170,164,,,74.7,70.1,72.7,72.4,61.7,62.5,60.5,65.6,58.6,60.2,57.9
,,Dominican Republic,,,,,,,,,,53,,294,,,,,,,,,,,0.5,,2.8
